Upfront_charges,Interest_rate_spread,credit_type,rate_of_interest,dtir1
4003.85,1.9526,3,4.49,38.0
3150.0,-0.597,3,3.25,31.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
5920.0,0.5735,2,4.25,31.0
3070.96,0.669,2,3.375,37.0
0.0,-0.4197,0,3.875,19.0
866.4,0.3953,2,3.99,33.0
4178.71,0.5983,0,4.5,30.0
2596.45,0.4416556604868295,2,3.99,50.0
2596.45,0.4416556604868295,0,3.99,45.0
6937.5,0.1079,3,3.5,16.0
3983.0,0.5713,0,4.125,25.0
752.57,1.9813,3,5.25,20.0
2125.0,0.171,3,3.75,44.0
4022.5,0.9044,2,4.56,42.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2820.0,0.1823,0,3.625,45.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,0.121,0,3.99,33.0
2614.0,1.563,2,3.75,45.0
2656.25,1.1152,2,4.5,32.0
2596.45,0.4416556604868295,2,3.99,37.73293242017198
4348.03,-0.4245,3,3.25,37.73293242017198
0.0,0.5623,3,3.75,37.73293242017198
2596.45,0.4416556604868295,1,3.99,37.73293242017198
1427.54,-0.1474,3,3.625,26.0
7905.0,-0.1109,0,3.375,34.0
0.0,0.8909,0,4.375,37.73293242017198
1079.78,0.9773,3,3.99,60.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,0,3.99,31.0
850.0,0.8132,0,5.375,45.0
2596.45,0.4416556604868295,2,3.99,44.0
1606.27,0.5196,0,3.875,39.0
0.0,0.9016,0,3.99,37.73293242017198
2596.45,0.3846,2,4.0,37.0
2596.45,-0.5468,2,3.125,37.73293242017198
2616.32,0.2957,0,3.875,41.0
6486.0,0.3908,3,3.375,36.0
7636.45,0.3255,0,3.99,37.0
0.0,0.5289,2,4.75,44.0
5632.45,1.0835,3,4.5,42.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2049.06,0.308,2,3.99,45.0
1657.88,0.6564,3,4.99,41.0
5160.0,0.5721,0,3.99,37.0
3125.0,-0.18,3,3.5,47.0
2596.45,0.4416556604868295,3,3.99,23.0
0.0,-0.308,0,4.0,41.0
2849.02,1.4216,2,3.75,27.0
8468.75,0.5111,0,3.375,37.0
0.0,1.2165,0,3.875,37.73293242017198
4250.25,0.6938,2,3.99,20.0
2719.0,-0.7531,2,2.75,37.73293242017198
2596.45,0.4416556604868295,0,3.99,49.0
2712.25,0.8031,3,3.875,38.0
2596.45,-0.0933,0,3.625,29.0
0.0,1.9218,2,5.25,44.0
0.0,0.9021,2,4.5,43.0
2596.45,0.4416556604868295,0,3.99,35.0
1612.99,-0.0523,0,3.5,37.73293242017198
2657.8,1.5923,2,4.25,33.0
2596.45,0.4416556604868295,2,3.99,59.0
2725.0,0.9559,0,4.375,30.0
2596.45,0.4416556604868295,0,3.99,45.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2596.45,0.4416556604868295,3,3.99,47.0
1193.76,0.1533,0,3.0,47.0
2596.45,0.4416556604868295,0,3.99,36.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
17735.0,-0.0843,0,3.5,48.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
4506.0,0.1757,0,3.75,48.0
2827.5,1.3091,0,5.125,18.0
2596.45,0.4416556604868295,0,3.99,39.0
0.0,0.9238,3,4.99,37.0
3829.17,0.5225,2,4.125,42.0
2550.0,0.3956,3,4.375,49.0
5481.63,1.3887,2,4.25,38.0
7138.75,0.6501,3,3.25,42.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
2492.88,0.5084,3,4.125,39.0
6403.11,0.3256,0,4.0,44.0
5300.5,1.4843,3,3.99,30.0
4770.88,0.4638,3,3.99,42.0
0.0,0.6796,0,4.5,45.0
4606.25,-0.1665,0,3.5,10.0
2199.0,0.1536,0,3.75,49.0
6638.75,0.6685,0,4.125,41.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,0.314,3,4.375,28.0
2687.85,0.949,0,3.99,42.0
4090.63,0.5889,2,4.5,45.0
3775.0,0.737,3,5.25,27.0
2596.45,0.1396,3,3.5,21.0
955.0,0.1714,3,3.625,50.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
0.0,-0.197,3,3.5,31.0
2596.45,0.4416556604868295,3,3.99,49.0
1150.0,0.6116,2,4.75,45.0
473.0,-0.0288,3,4.375,47.0
7464.93,1.0734,0,4.625,34.0
6115.64,1.4556,0,5.5,36.0
0.0,1.4092,3,5.5,43.0
7591.25,-0.2658,3,3.75,33.0
5231.8,-0.089,0,4.0,32.0
2596.45,0.4416556604868295,1,3.99,37.73293242017198
6610.0,0.6549,3,4.56,42.0
2596.45,0.4416556604868295,3,3.99,43.0
0.0,-0.2198,3,3.875,25.0
1392.5,-0.1857,0,3.625,37.0
1495.0,0.118,3,3.75,39.0
